date,adm_level,adm_id,state,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
01/09/2024,1,1891,Johor,622,47.488747,56.71104,209.58682,182.32004,503.14792,497.8198,85.05569,114.55625,101.059654,final
11/09/2024,1,1891,Johor,622,60.319935,52.188477,178.71544,177.79164,502.2781,503.21158,114.21869,100.50539,99.81632,final
21/09/2024,1,1891,Johor,622,41.607716,53.450428,149.4164,162.34995,463.59323,510.8193,79.73888,92.27155,90.844444,final
01/10/2024,1,1891,Johor,622,74.35691,60.716667,176.28456,166.35558,494.3296,511.34845,120.756134,105.79437,96.703995,final
11/10/2024,1,1891,Johor,622,90.07395,66.89453,206.03857,181.06163,551.23956,527.48956,132.24088,113.42401,104.46018,final
21/10/2024,1,1891,Johor,622,41.45981,87.83543,205.89067,215.44662,576.08044,558.9172,50.04534,95.665184,103.04358,final
01/11/2024,1,1891,Johor,622,101.04501,90.76233,232.57877,245.49228,618.4502,594.1679,110.73772,94.84475,104.052666,final
11/11/2024,1,1891,Johor,622,123.88746,90.405304,266.39227,269.00305,651.14624,627.8563,135.09464,99.04717,103.68012,final
21/11/2024,1,1891,Johor,622,190.19936,88.1082,415.13184,269.27582,770.4389,647.0724,209.64787,153.17859,118.91914,final
01/12/2024,1,1891,Johor,622,60.392284,121.56238,374.4791,300.0759,783.3424,711.92377,51.66803,124.38842,109.96182,final
11/12/2024,1,1891,Johor,622,84.92444,110.76683,335.51608,320.4374,807.9469,770.5021,77.67721,104.633354,104.82847,final
21/12/2024,1,1891,Johor,622,87.770096,131.52899,233.08682,363.8582,854.10925,848.5807,67.949005,64.54698,100.64769,final
01/01/2025,1,1891,Johor,622,83.726685,100.24657,256.4212,337.89624,863.47906,888.2762,84.303635,76.23916,97.22403,final
11/01/2025,1,1891,Johor,622,253.12701,82.84357,424.62378,312.61478,1026.5321,905.41187,293.8485,135.26567,113.3039,final
21/01/2025,1,1891,Johor,622,99.46624,93.333336,436.31995,276.42346,1084.5386,910.567,106.236855,156.81705,119.00151,final
01/02/2025,1,1891,Johor,622,28.615755,47.915485,381.209,224.09239,1012.1094,867.04315,63.527252,168.58221,116.635216,final
11/02/2025,1,1891,Johor,622,43.186497,37.718487,171.2685,178.96732,931.40845,810.7472,112.800095,95.81512,114.791504,final
21/02/2025,1,1891,Johor,622,48.81833,31.283012,120.62058,116.916985,790.02747,752.45807,148.32927,103.037796,104.95993,final
01/03/2025,1,1891,Johor,622,63.33923,53.97701,155.34406,122.97851,792.97437,684.9671,115.87436,125.28983,115.65397,final
11/03/2025,1,1891,Johor,622,81.97588,54.053535,194.13345,139.31355,790.0258,630.8956,147.28311,137.98666,125.02458,final
21/03/2025,1,1891,Johor,622,90.691315,71.5336,236.00642,179.56415,792.947,572.9046,125.03177,130.58139,138.07591,final
01/04/2025,1,1891,Johor,622,114.35531,63.43151,287.02252,189.01865,823.5755,536.08954,174.41573,150.51262,153.13094,final
11/04/2025,1,1891,Johor,622,103.42122,63.119667,308.46783,198.08478,673.86975,516.36566,159.16287,154.3532,130.20992,final
21/04/2025,1,1891,Johor,622,95.017685,74.879364,312.7942,201.43054,669.42126,497.91168,125.210915,153.94727,134.10332,final
01/05/2025,1,1891,Johor,622,79.167206,65.522934,277.6061,203.52197,719.97266,515.5191,119.34729,135.52821,139.27878,final
11/05/2025,1,1891,Johor,622,74.51286,60.239174,248.69775,200.64148,751.29913,538.0398,121.87902,123.36896,139.27141,final
21/05/2025,1,1891,Johor,622,66.086815,64.674065,219.76688,190.43617,768.56757,571.43085,102.02766,115.00782,134.19955,final
01/06/2025,1,1891,Johor,622,46.974277,56.38703,187.57394,181.30026,752.20264,573.8409,84.66654,103.36751,130.81361,final
11/06/2025,1,1891,Johor,622,31.205788,46.796677,144.26688,167.85777,701.4325,566.58405,69.899826,86.352425,123.59206,final
21/06/2025,1,1891,Johor,622,36.025723,45.842712,114.205795,149.02643,646.76685,540.8931,80.69145,77.39308,119.39459,final
01/07/2025,1,1891,Johor,622,35.44534,60.187515,102.67685,152.8269,567.8569,537.6492,62.04461,68.22465,105.5667,final
11/07/2025,1,1891,Johor,622,30.813505,50.75343,102.28457,156.78366,495.2492,525.2829,64.23552,66.3136,94.33629,final
21/07/2025,1,1891,Johor,622,35.406754,56.407825,101.665596,167.34877,435.63824,506.81137,65.80066,61.889385,86.09387,final
01/08/2025,1,1891,Johor,622,76.85852,55.511578,143.07878,162.67284,433.3296,496.8,135.27745,88.31412,87.351456,final
11/08/2025,1,1891,Johor,622,60.336014,56.71688,172.60129,168.63628,419.1527,493.2777,105.86408,102.283516,85.12376,final
21/08/2025,1,1891,Johor,622,58.77492,68.89212,195.96945,181.12057,411.84085,497.4958,86.30815,107.978096,82.954094,final
01/09/2025,1,1891,Johor,622,77.03055,56.71104,196.14148,182.32004,441.89713,497.8198,132.92686,107.37852,88.87819,final
11/09/2025,1,1891,Johor,622,71.85048,52.188477,207.65594,177.79164,482.5418,503.21158,134.38106,116.3379,95.93284,final
21/09/2025,1,1891,Johor,622,60.599678,53.450428,209.48071,162.34995,507.11572,510.8193,112.2313,128.16301,99.282,final
01/10/2025,1,1891,Johor,622,76.131836,60.716667,208.582,166.35558,547.80225,511.34845,123.457016,124.64258,107.05992,final
11/10/2025,1,1891,Johor,622,79.980705,66.89453,216.71222,181.06163,596.9694,527.48956,118.2019,119.16064,113.04811,final
21/10/2025,1,1891,Johor,622,42.46463,87.83543,198.57718,215.44662,604.02734,558.9172,51.127712,92.3476,107.999435,final
01/11/2025,1,1891,Johor,622,70.33119,90.76233,192.77652,245.49228,597.5,594.1679,78.66474,78.95514,100.55612,final
11/11/2025,1,1891,Johor,622,108.08199,90.405304,220.8778,269.00305,645.246,627.8563,118.528,82.43624,102.747795,final
21/11/2025,1,1891,Johor,622,146.20258,88.1082,324.61575,269.27582,732.67365,647.0724,162.39447,120.17674,113.12756,final
01/12/2025,1,1891,Johor,622,57.92283,121.56238,312.2074,300.0759,713.5659,711.92377,49.71685,103.97655,100.22906,final
11/12/2025,1,1891,Johor,622,210.33441,110.76683,414.4598,320.4374,852.04987,770.5021,186.007,128.89108,110.51549,final
21/12/2025,1,1891,Johor,622,81.273315,131.52899,349.53055,363.8582,872.7236,848.5807,63.19047,96.11568,102.82842,final
01/01/2026,1,1891,Johor,622,48.543407,100.24657,340.15112,337.89624,845.1351,888.2762,50.874256,100.65759,95.17046,final
11/01/2026,1,1891,Johor,622,7.590032,82.84357,137.40675,312.61478,772.7444,905.41187,14.332334,44.83631,85.42775,final
21/01/2026,1,1891,Johor,622,13.657557,93.333336,69.79099,276.42346,743.93726,910.567,18.973785,26.575962,81.80038,final
01/02/2026,1,1891,Johor,622,7.9180064,47.915485,29.165596,224.09239,681.5241,867.04315,24.412527,14.913458,78.72594,final
11/02/2026,1,1891,Johor,622,126.307076,37.718487,147.88264,178.96732,699.7492,810.7472,307.37762,83.10316,86.39309,final
21/02/2026,1,1891,Johor,622,29.327974,31.283012,163.55305,116.916985,582.87463,752.45807,94.611694,138.25232,77.6115,final
01/03/2026,1,1891,Johor,622,44.565918,53.97701,200.20097,122.97851,569.5177,684.9671,84.04278,160.34018,83.2674,final
11/03/2026,1,1891,Johor,622,27.11897,54.053535,101.01286,139.31355,386.30225,630.8956,54.389584,73.46009,61.53561,final
21/03/2026,1,1891,Johor,622,42.18167,71.5336,113.86656,179.56415,347.2106,572.9046,61.648308,64.40393,60.946148,final
01/04/2026,1,1891,Johor,622,72.799034,63.43151,142.09967,189.01865,371.46625,536.08954,113.688896,75.81728,69.57559,prelim
11/04/2026,1,1891,Johor,622,93.50804,63.119667,208.48874,198.08478,457.38428,516.36566,144.61029,105.12296,88.68713,prelim
21/04/2026,1,1891,Johor,622,103.43087,74.879364,269.73795,201.43054,547.15753,497.91168,135.74329,133.08978,109.79215,forecast
01/01/2022,1,1892,Kedah,290,19.76207,36.81517,117.83793,152.15115,791.12415,753.9038,59.21791,78.16547,104.90449,final
11/01/2022,1,1892,Kedah,290,4.096552,29.090115,53.71379,120.98391,698.169,659.6484,26.68384,46.6042,105.79565,final
21/01/2022,1,1892,Kedah,290,8.434483,35.21701,32.293106,101.1223,550.81384,559.12036,33.404976,35.14163,98.52753,final
01/02/2022,1,1892,Kedah,290,73.96896,23.372068,86.5,87.6792,537.08276,488.11334,278.33347,98.72765,109.93066,final
11/02/2022,1,1892,Kedah,290,115.76207,37.9677,198.16551,96.556786,512.8931,435.2999,281.05313,200.05115,117.62282,final
21/02/2022,1,1892,Kedah,290,114.2,30.14862,303.93103,91.48839,496.34143,380.64804,339.13135,320.17432,129.99973,final
01/03/2022,1,1892,Kedah,290,93.86207,48.941265,323.82413,117.05759,528.16205,356.88794,183.27725,269.40082,147.32794,final
11/03/2022,1,1892,Kedah,290,119.28621,56.3977,327.34827,135.48758,579.22754,353.0283,202.42813,236.56772,163.17915,final
21/03/2022,1,1892,Kedah,290,127.04138,108.64667,340.18967,213.98563,676.41376,406.5963,116.18588,157.6312,165.55391,final
01/04/2022,1,1892,Kedah,290,102.53793,75.855286,348.86554,240.89966,759.1897,445.63644,133.00049,143.90648,169.5801,final
11/04/2022,1,1892,Kedah,290,93.64828,82.64724,323.2276,267.1492,848.7414,499.19357,112.5515,120.60576,169.3281,final
21/04/2022,1,1892,Kedah,290,65.26897,94.02793,261.4552,252.53046,905.5758,558.00446,70.95873,103.46551,161.73509,final
01/05/2022,1,1892,Kedah,290,143.3207,88.571266,302.2379,265.24643,974.9276,623.2037,158.51094,113.68805,155.98883,final
11/05/2022,1,1892,Kedah,290,74.53104,86.15471,283.1207,268.7539,933.69653,671.3907,87.24841,105.24807,138.78023,final
21/05/2022,1,1892,Kedah,290,65.02414,89.738045,282.87585,264.46402,884.52075,730.9801,73.91343,106.83276,120.86207,final
01/06/2022,1,1892,Kedah,290,99.75862,71.42195,239.3138,247.31471,890.4173,753.4608,137.07922,96.828995,118.05716,final
11/06/2022,1,1892,Kedah,290,69.010345,68.31609,233.7931,229.47609,840.14136,765.3792,100.94693,101.841125,109.70459,final
21/06/2022,1,1892,Kedah,290,123.95862,60.4177,292.7276,200.15575,837.0586,717.1502,197.13107,145.12271,116.604355,final
01/07/2022,1,1892,Kedah,290,82.37241,69.09046,275.34137,197.82425,816.89307,710.3854,117.92667,138.21887,114.88815,final
11/07/2022,1,1892,Kedah,290,93.417244,70.980576,299.74826,200.48874,816.6621,698.71875,129.52948,148.30412,116.76002,final
21/07/2022,1,1892,Kedah,290,83.14483,76.98586,258.93448,217.0569,834.5379,681.67664,107.51222,118.85895,122.261024,final
01/08/2022,1,1892,Kedah,290,89.586205,74.286896,266.1483,222.25333,780.80347,667.3923,119.296135,119.31543,116.86681,final
